Field Name,WaqasTest24June
Key Project Parameters
Start Year,2025
Project Duration (years),500
Avg. Credits/ha/annum,300
Hectares of Potential Restoration,5
Investment / Financial Inputs (€),74700
Selling Price of a Carbon Credit (€),80
Results
Credits Generated,750000.00
Cost per Credit,3.01
Net Present Value,14378476
Gross Present Value,15005567
CARG,3.78
Profit per Credit,19.17
Profit per Hectare per Year,5751.39
Rate of Return,665.55
Profitable,YES
Arguments
Number of Years,500
Credits per Hectare per Year,300
Hectares for Restoration,5
Investment Amount,74700
Start Year,2025
Price per Credit,80
Investment Costs Included,true
Registration Costs Included,true
Assumptions
Nominal Interest Rate,0.0235
Inflation Rate,0.021
Registry Account Opening Fee,0.001
Registry Listing Cost per Credit,0.05
Registry Conversion Cost Fee per Inspection,100
Registry Conversion Cost per Credit above Minimum Threshold,0.05
Registration Levy Cost per Credit,0.05
Validation and Verification Application Cost per Inspection,600
Validation and Verification Statement Cost per Inspection,800
Validation and Verification Inspector Travel Cost per Inspection,500
Inspection Cycle Length,5
Minimum Threshold of Credits,2000
Interest Rate,0.05
Payments per Year,12
Export Information
Export Date,2025-06-24T09:32:29.905Z
Export Timestamp,1750757549905
